Sample description: Zero Background (ZB) reduction performed following an available procedure of the BioSAXS beamline operated by ANSTO at the Australian Synchrotron.
Sample: Zero Background  c= 0 mg/ml  Code: 
Parent(s): /home/st/nov/fin/ins2/scale2/c0.dat
  5.342274e-01   4.523000e-05   4.229364e-06
  5.354974e-01   5.438000e-05   4.235716e-06
  5.367674e-01   5.528000e-05   4.251469e-06
  5.380374e-01   5.637000e-05   4.255621e-06
  5.393074e-01   5.084000e-05   4.264120e-06
  5.405775e-01   4.546000e-05   4.278391e-06
  5.418475e-01   5.392000e-05   4.276364e-06
  5.431175e-01   5.219000e-05   4.282554e-06
  5.443875e-01   4.828000e-05   4.284836e-06
  5.456575e-01   5.042000e-05   4.274698e-06
  5.469276e-01   5.637000e-05   4.281732e-06
  5.481976e-01   5.897000e-05   4.286947e-06
  5.494676e-01   5.895000e-05   4.286600e-06
  5.507376e-01   5.563000e-05   4.291895e-06
  5.520077e-01   5.794000e-05   4.286442e-06
  5.532777e-01   4.691000e-05   4.288534e-06
  5.545477e-01   5.053000e-05   4.294705e-06
  5.558177e-01   5.310000e-05   4.288171e-06
  5.570877e-01   4.835000e-05   4.294222e-06
  5.583578e-01   5.265000e-05   4.297132e-06
  5.596278e-01   5.437000e-05   4.293556e-06
  5.608978e-01   5.691000e-05   4.306425e-06
  5.621678e-01   5.633000e-05   4.315286e-06
  5.634378e-01   5.382000e-05   4.324850e-06
  5.647079e-01   5.054000e-05   4.341205e-06
  5.659779e-01   5.030000e-05   4.342109e-06
  5.672479e-01   5.231000e-05   4.349418e-06
  5.685179e-01   5.115000e-05   4.355264e-06
  5.697879e-01   4.910000e-05   4.348088e-06
  5.710580e-01   5.274000e-05   4.354596e-06
  5.723280e-01   5.176000e-05   4.356741e-06
  5.735980e-01   5.536000e-05   4.353592e-06
  5.748680e-01   5.241000e-05   4.362901e-06
  5.761381e-01   5.314000e-05   4.359055e-06
  5.774081e-01   5.357000e-05   4.359411e-06
  5.786781e-01   5.545000e-05   4.363220e-06
  5.799481e-01   5.272000e-05   4.376125e-06
  5.812181e-01   5.566000e-05   4.419517e-06
  5.824882e-01   5.936000e-05   4.445495e-06
  5.837582e-01   5.682000e-05   4.456813e-06
  5.850282e-01   5.104000e-05   4.473596e-06
  5.862982e-01   4.498000e-05   4.481718e-06
  5.875682e-01   4.863000e-05   4.483806e-06
